FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,B08122_001,B08122_002,B08122_003,B08122_004,B08122_005,B08122_006,B08122_007,B08122_008,B08122_009,B08122_010,B08122_011,B08122_012,B08122_013,B08122_014,B08122_015,B08122_016,B08122_017,B08122_018,B08122_019,B08122_020,B08122_021,B08122_022,B08122_023,B08122_024,B08122_025,B08122_026,B08122_027,B08122_028
FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Total:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  At or above 150 percent of the poverty level,"MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% At or above 150 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% At or above 150 percent of the poverty level",MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% At or above 150 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% At or above 150 percent of the poverty level,"MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% At or above 150 percent of the poverty level",MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% At or above 150 percent of the poverty level
ACSSF,20160,us,0,32,1,149185830,9746518,9264922,130174390,114439060,6329496,6469759,101639805,13505607,1259768,1204490,11041349,7607646,780178,613201,6214267,3538349,583190,372881,2582278,2672505,334061,245587,2092857,7422663,459825,359004,6603834
ACSSF,20160,us,0,32,2,122580609,8360422,7792709,106427478,92567733,5313855,5337665,81916213,11200623,1077838,1027804,9094981,7482261,769005,603382,6109874,3073943,530932,326547,2216464,2335334,300396,216498,1818440,5920715,368396,280813,5271506
ACSSF,20160,us,0,32,3,26605221,1386096,1472213,23746912,21871327,1015641,1132094,19723592,2304984,181930,176686,1946368,125385,11173,9819,104393,464406,52258,46334,365814,337171,33665,29089,274417,1501948,91429,78191,1332328
ACSSF,20160,us,0,32,4,368727,40120,35561,293046,282999,26107,24733,232159,36243,4242,4818,27183,5689,1117,909,3663,14149,3635,1704,8810,6477,1538,807,4132,23170,3481,2590,17099
ACSSF,20160,us,0,32,5,1089688,79613,85105,924970,905753,57330,66029,782394,103809,12249,10383,81177,4881,1125,1081,2675,15983,3184,2617,10182,15753,2350,2401,11002,43509,3375,2594,37540
ACSSF,20160,us,0,32,6,108412,6504,4984,96924,63400,2221,1685,59494,13067,747,448,11872,1000,150,100,750,13934,1720,1303,10911,10003,1144,1077,7782,7008,522,371,6115
ACSSF,20160,us,0,32,7,434381,41838,35728,356815,369271,31721,28307,309243,38122,5596,4611,27915,1563,425,185,953,4842,1337,879,2626,7677,1158,681,5838,12906,1601,1065,10240
ACSSF,20160,us,0,32,8,141825776,9166950,8708164,123950662,108566904,5915709,6060916,96590279,12771472,1184619,1127597,10459256,7573307,775519,608313,6189475,3313892,543941,347233,2422718,2546009,317427,231085,1997497,7054192,429735,333020,6291437
ACSSF,20160,us,0,32,9,130045428,8216611,7814668,114014149,98943240,5234333,5379091,88329816,11644543,1054627,1015335,9574581,7507419,762885,600490,6144044,3020118,486697,308547,2224874,2372370,288512,210825,1873033,6557738,389557,300380,5867801
